<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.17	12:00:00	0.59082	0.59135	0.59017	0.59044	12138	0	5
2024.04.17	16:00:00	0.59043	0.59130	0.58935	0.58993	19090	0	5
2024.04.17	20:00:00	0.58994	0.59249	0.58986	0.59159	11014	0	5
2024.04.18	00:00:00	0.59069	0.59186	0.59057	0.59131	5271	0	5
2024.04.18	04:00:00	0.59133	0.59285	0.59119	0.59202	10569	0	5
2024.04.18	08:00:00	0.59203	0.59327	0.59151	0.59300	10796	0	5
2024.04.18	12:00:00	0.59300	0.59312	0.59182	0.59235	11064	0	5
2024.04.18	16:00:00	0.59235	0.59278	0.59074	0.59087	18085	0	5
2024.04.18	20:00:00	0.59089	0.59094	0.58984	0.59009	8330	0	5
2024.04.19	00:00:00	0.59025	0.59041	0.58936	0.58945	6008	0	5
2024.04.19	04:00:00	0.58944	0.58963	0.58518	0.58828	26646	0	6
2024.04.19	08:00:00	0.58829	0.58974	0.58759	0.58904	18710	0	5
2024.04.19	12:00:00	0.58904	0.59002	0.58812	0.58941	14380	0	5
2024.04.19	16:00:00	0.58939	0.59061	0.58819	0.58910	20121	0	5
2024.04.19	20:00:00	0.58911	0.58936	0.58835	0.58876	8593	0	5
2024.04.22	00:00:00	0.58827	0.59119	0.58801	0.59054	6995	0	5
2024.04.22	04:00:00	0.59053	0.59282	0.59053	0.59114	8956	0	5
2024.04.22	08:00:00	0.59115	0.59130	0.59024	0.59062	10428	0	5
2024.04.22	12:00:00	0.59062	0.59121	0.59033	0.59070	10378	0	5
2024.04.22	16:00:00	0.59070	0.59131	0.58941	0.59117	13406	0	5
2024.04.22	20:00:00	0.59117	0.59225	0.59113	0.59184	5582	0	5
2024.04.23	00:00:00	0.59159	0.59256	0.59152	0.59253	4879	0	5
2024.04.23	04:00:00	0.59253	0.59279	0.59157	0.59170	7663	0	5
2024.04.23	08:00:00	0.59170	0.59189	0.59047	0.59070	9791	0	5
2024.04.23	12:00:00	0.59070	0.59162	0.59021	0.59150	9927	0	5
2024.04.23	16:00:00	0.59150	0.59478	0.59120	0.59384	16090	0	5
2024.04.23	20:00:00	0.59386	0.59428	0.59302	0.59318	5494	0	5
2024.04.24	00:00:00	0.59273	0.59428	0.59259	0.59422	5168	0	5
2024.04.24	04:00:00	0.59423	0.59518	0.59378	0.59451	9862	0	5
2024.04.24	08:00:00	0.59451	0.59473	0.59320	0.59370	9991	0	5
2024.04.24	12:00:00	0.59370	0.59419	0.59239	0.59276	8353	0	5
2024.04.24	16:00:00	0.59278	0.59383	0.59201	0.59279	13556	0	5
2024.04.24	20:00:00	0.59278	0.59390	0.59262	0.59355	7124	0	5
2024.04.25	00:00:00	0.59313	0.59412	0.59289	0.59387	6411	0	5
2024.04.25	04:00:00	0.59388	0.59457	0.59316	0.59422	7836	0	5
2024.04.25	08:00:00	0.59424	0.59642	0.59397	0.59629	9918	0	5
2024.04.25	12:00:00	0.59628	0.59682	0.59268	0.59290	11515	0	5
2024.04.25	16:00:00	0.59291	0.59461	0.59197	0.59444	19460	0	3
2024.04.25	20:00:00	0.59447	0.59524	0.59423	0.59488	8296	0	5
2024.04.26	00:00:00	0.59458	0.59636	0.59396	0.59630	6668	0	5
2024.04.26	04:00:00	0.59631	0.59680	0.59528	0.59558	8837	0	5
2024.04.26	08:00:00	0.59558	0.59692	0.59551	0.59609	13997	0	5
2024.04.26	12:00:00	0.59608	0.59637	0.59456	0.59537	12363	0	5
2024.04.26	16:00:00	0.59536	0.59591	0.59287	0.59406	16819	0	5
2024.04.26	20:00:00	0.59405	0.59480	0.59372	0.59398	4355	0	5
2024.04.29	00:00:00	0.59420	0.59505	0.59347	0.59493	3413	0	5
2024.04.29	04:00:00	0.59493	0.59823	0.59476	0.59738	12712	0	5
2024.04.29	08:00:00	0.59737	0.59773	0.59575	0.59637	15380	0	5
2024.04.29	12:00:00	0.59638	0.59797	0.59622	0.59652	8987	0	5
2024.04.29	16:00:00	0.59652	0.59827	0.59593	0.59790	11862	0	5
2024.04.29	20:00:00	0.59792	0.59842	0.59717	0.59775	6564	0	5
2024.04.30	00:00:00	0.59734	0.59792	0.59652	0.59680	4295	0	5
2024.04.30	04:00:00	0.59681	0.59729	0.59464	0.59486	7180	0	5
2024.04.30	08:00:00	0.59488	0.59490	0.59295	0.59429	7711	0	5
2024.04.30	12:00:00	0.59428	0.59527	0.59152	0.59166	10046	0	5
2024.04.30	16:00:00	0.59168	0.59246	0.59016	0.59047	16208	0	5
2024.04.30	20:00:00	0.59048	0.59061	0.58866	0.58871	5572	0	5
2024.05.01	00:00:00	0.58871	0.58910	0.58736	0.58837	4296	0	5
2024.05.01	04:00:00	0.58837	0.58893	0.58829	0.58860	3100	0	5
